POLITICAL_UNIT,NAME,WGMS_ID,YEAR,TIME_SYSTEM,BEGIN_PERIOD,END_WINTER,END_PERIOD,ELA_PREFIX,ELA,ELA_UNC,MIN_SITES_ACC,MAX_SITES_ACC,MIN_SITES_ABL,MAX_SITES_ABL,ACC_AREA,ACC_AREA_UNC,ABL_AREA,ABL_AREA_UNC,AAR,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS
AT,HINTEREIS F.,491,1985,FXD,19841001,,19850930,,3010.0,,15,,80,,4.51,,4.56,,50.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1986,FXD,19851001,,19860930,,3080.0,,10,,60,,3.65,,5.41,,40.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1987,FXD,19861001,,19870930,,3070.0,,10,,60,,4.04,,5.01,,45.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1988,FXD,19871001,,19880930,,3130.0,,10,,60,,2.6,,6.43,,29.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1989,FXD,19881001,,19890930,,3080.0,,10,,60,,3.39,,5.6,,38.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1990,FXD,19891001,,19900930,,3115.0,,10,,60,,2.9,,6.08,,32.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1991,FXD,19901001,,19910930,,3260.0,,10,14,40,50,1.57,,7.31,,18.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1992,FXD,19911001,,19920930,,3155.0,,10,14,40,50,2.08,,6.79,,24.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1993,FXD,19921001,,19930930,,3050.0,,10,14,40,50,4.27,,4.48,,48.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1994,FXD,19931001,,19940930,,3145.0,,10,14,40,50,2.75,,5.99,,31.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1995,FXD,19941001,,19950930,,3080.0,,10,14,40,50,4.63,,4.09,,53.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1996,FXD,19951001,,19960930,,3100.0,,8,12,35,45,3.573,,5.143,,41.0,"G. MARKL, M. Kuhn, N. Span, INSTITUTE OF METEOROLO","TIROLER LANDESREGIERUNG, HYDROGRAPHISCHER DIENST","Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!","Dyurgerov (2002): ELA 3100, AAR 41; MARKL and KUHN reported ELA as 3160, AAR as 55."
AT,HINTEREIS F.,491,1997,FXD,19961001,,19970930,,3050.0,,8,12,35,45,4.218,,4.855,,48.0,"G. MARKL, M. Kuhn, N. Span, INSTITUTE OF METEOROLO","TIROLER LANDESREGIERUNG, HYDROGRAPHISCHER DIENST","Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!","Dyurgerov (2002): ELA 3050, AAR 48; MARKL and KUHN reported ELA also as 3120 and AAR as 74."
